question,answers,category
How do I raise an IT support request at NovaEdge Technologies?,"Employees should use the CogniAssist chat to raise IT support requests. The system automatically creates a ticket, assigns priority, and routes it to the IT team. Employees can track progress and receive step-by-step resolution guidance through CogniAssist.",IT
What should I do if my system or application is not working?,"If a system or application issue occurs, employees must report it through CogniAssist with a clear description and screenshots if available. IT will respond based on SLA timelines and escalate critical issues if required.",IT
How do I reset my password or unlock my account?,Employees can request password resets or account unlocks using CogniAssist. Identity verification may be required before IT processes the request. Passwords must comply with company security standards.,IT
What is the standard process for requesting new hardware?,Employees must submit hardware requests such as laptops or accessories through CogniAssist. The request should include justification and approval details. IT evaluates availability and responds within defined SLA timelines.,IT
How do I report a cybersecurity incident or suspicious activity?,"Any suspected phishing, malware, or unauthorized access must be reported immediately through CogniAssist. Employees should avoid interacting with suspicious links or files until IT provides further instructions.",Security
What are the basic IT security best practices employees must follow?,"Employees must use strong passwords, avoid sharing credentials, lock devices when unattended, and follow data handling guidelines. Security awareness compliance is mandatory for all NovaEdge employees.",Security
How does NovaEdge protect employee and company data?,"NovaEdge follows strict Data Protection & Privacy policies. Data is secured using access controls, encryption, and monitoring. Employees must handle sensitive information responsibly and report violations via CogniAssist.",Security
What should I do if I lose my laptop or company device?,"In case of lost or stolen devices, employees must immediately inform IT via CogniAssist. IT will take steps to secure company data and initiate asset recovery or replacement procedures.",Security
How do I apply for leave at NovaEdge Technologies?,Employees should submit leave requests through the designated HR system or CogniAssist. Requests must be approved by the reporting manager. HR processes requests according to company leave policies.,HR
Whom should I contact for HR-related questions or concerns?,"All HR-related queries including leave, benefits, and policies should be raised through CogniAssist. HR will respond within SLA timelines and escalate sensitive matters if required.",HR
How does payroll processing work at NovaEdge Technologies?,"Payroll is processed as per defined schedules. Payslips, deductions, and salary-related queries can be accessed or raised through CogniAssist. Finance or HR will respond within SLA timelines.",Finance
What is the process for expense reimbursement?,Employees must submit expense reimbursement requests with supporting documents through CogniAssist. Finance reviews submissions and processes approved claims as per company policy.,Finance
How are performance reviews conducted at NovaEdge Technologies?,Performance reviews are conducted periodically based on defined evaluation criteria. Employees should participate in review cycles and raise performance-related queries via CogniAssist if clarification is required.,HR
How do promotions work at NovaEdge Technologies?,"Promotions are based on performance, role requirements, and business needs. Employees can seek guidance or clarification through CogniAssist during review or promotion cycles.",HR
What is the company policy on remote or hybrid work?,"NovaEdge supports approved hybrid and remote work models. Employees must follow defined guidelines, security requirements, and approval workflows. Queries should be raised via CogniAssist.",HR
How do I access company systems while working remotely?,Remote access requires VPN configuration and compliance with security policies. Employees should follow setup instructions and request assistance through CogniAssist if needed.,IT
What should I do if I receive a suspicious email?,Employees should not click on suspicious links or attachments. Such emails must be reported immediately through CogniAssist for security analysis and action.,Security
How does NovaEdge handle employee grievances or feedback?,Employees can raise grievances or feedback confidentially through CogniAssist. HR reviews submissions and ensures fair resolution following company guidelines.,HR
Where can I find company policies and guidelines?,"All company policies including HR, IT, and Security guidelines are available through internal documentation and CogniAssist. Employees are encouraged to review them regularly.",Company
Who should I contact in case of urgent issues?,"For urgent or critical matters, employees should mark priority as High or Critical in CogniAssist. The system ensures faster escalation to the appropriate team.",Company
